year,inflation_rate_base,cumulative_inflation_base,index_base,inflation_rate_stressed,cumulative_inflation_stressed,index_stressed,stress_addon
1,0.019,0.018999999999999906,1.019,0.028999999999999998,0.028999999999999915,1.029,0.01
2,0.018,0.037341999999999986,1.037342,0.027999999999999997,0.057811999999999975,1.057812,0.01
3,0.02,0.05808883999999992,1.05808884,0.03,0.08954635999999994,1.08954636,0.01
4,0.02,0.0792506168,1.0792506168,0.03,0.12223275080000007,1.1222327508,0.01
5,0.02,0.10083562913599997,1.100835629136,0.03,0.1558997333240002,1.1558997333240002,0.01
6,0.02,0.12285234171871995,1.12285234171872,0.03,0.19057672532372028,1.1905767253237203,0.01
7,0.02,0.14530938855309428,1.1453093885530943,0.03,0.22629402708343194,1.226294027083432,0.01
8,0.02,0.16821557632415618,1.1682155763241562,0.03,0.26308284789593483,1.2630828478959348,0.01
9,0.02,0.1915798878506394,1.1915798878506394,0.03,0.3009753333328129,1.300975333332813,0.01
10,0.02,0.2154114856076521,1.215411485607652,0.03,0.3400045933327973,1.3400045933327973,0.01
11,0.02,0.23971971531980518,1.2397197153198052,0.03,0.3802047311327812,1.3802047311327812,0.01
12,0.02,0.26451410962620137,1.2645141096262014,0.03,0.4216108730667647,1.4216108730667647,0.01
13,0.02,0.2898043918187254,1.2898043918187254,0.03,0.4642591992587677,1.4642591992587677,0.01
14,0.02,0.31560047965509996,1.3156004796551,0.03,0.5081869752365307,1.5081869752365307,0.01
15,0.02,0.34191248924820195,1.341912489248202,0.03,0.5534325844936265,1.5534325844936265,0.01
16,0.02,0.3687507390331659,1.368750739033166,0.03,0.6000355620284354,1.6000355620284354,0.01
17,0.02,0.3961257538138292,1.3961257538138292,0.03,0.6480366288892885,1.6480366288892885,0.01
18,0.02,0.4240482688901057,1.4240482688901057,0.03,0.6974777277559672,1.6974777277559672,0.01
19,0.02,0.4525292342679079,1.452529234267908,0.03,0.7484020595886463,1.7484020595886463,0.01
20,0.02,0.48157981895326607,1.481579818953266,0.03,0.8008541213763056,1.8008541213763056,0.01
21,0.02,0.5112114153323315,1.5112114153323315,0.03,0.8548797450175949,1.854879745017595,0.01
22,0.02,0.5414356436389782,1.5414356436389782,0.03,0.9105261373681228,1.9105261373681228,0.01
23,0.02,0.5722643565117578,1.5722643565117578,0.03,0.9678419214891665,1.9678419214891665,0.01
24,0.02,0.6037096436419929,1.6037096436419929,0.03,1.0268771791338414,2.0268771791338414,0.01
25,0.02,0.6357838365148327,1.6357838365148327,0.03,1.0876834945078566,2.0876834945078566,0.01
26,0.02,0.6684995132451295,1.6684995132451295,0.03,1.1503139993430924,2.1503139993430924,0.01
27,0.02,0.7018695035100322,1.7018695035100322,0.03,1.2148234193233853,2.2148234193233853,0.01
28,0.02,0.7359068935802329,1.7359068935802329,0.03,1.281268121903087,2.281268121903087,0.01
29,0.02,0.7706250314518375,1.7706250314518375,0.03,1.3497061655601796,2.3497061655601796,0.01
30,0.02,0.8060375320808744,1.8060375320808744,0.03,1.4201973505269851,2.420197350526985,0.01
31,0.02,0.8421582827224918,1.8421582827224918,0.03,1.4928032710427948,2.4928032710427948,0.01
32,0.02,0.8790014483769417,1.8790014483769417,0.03,1.5675873691740785,2.5675873691740785,0.01
33,0.02,0.9165814773444805,1.9165814773444805,0.03,1.644614990249301,2.644614990249301,0.01
34,0.02,0.9549131068913701,1.95491310689137,0.03,1.7239534399567802,2.72395343995678,0.01
35,0.02,0.9940113690291976,1.9940113690291976,0.03,1.8056720431554836,2.8056720431554836,0.01
36,0.02,1.0338915964097817,2.0338915964097817,0.03,1.8898422044501482,2.889842204450148,0.01
37,0.02,1.0745694283379774,2.0745694283379774,0.03,1.9765374705836525,2.9765374705836525,0.01
38,0.02,1.1160608169047368,2.116060816904737,0.03,2.065833594701162,3.065833594701162,0.01
39,0.02,1.1583820332428316,2.1583820332428316,0.03,2.157808602542197,3.157808602542197,0.01
40,0.02,1.2015496739076883,2.2015496739076883,0.03,2.252542860618463,3.252542860618463,0.01
41,0.02,1.245580667385842,2.245580667385842,0.03,2.350119146437017,3.350119146437017,0.01
42,0.02,1.290492280733559,2.290492280733559,0.03,2.4506227208301277,3.4506227208301277,0.01
43,0.02,1.3363021263482304,2.3363021263482304,0.03,2.5541414024550315,3.5541414024550315,0.01
44,0.02,1.383028168875195,2.383028168875195,0.03,2.6607656445286825,3.6607656445286825,0.01
45,0.02,1.4306887322526989,2.430688732252699,0.03,2.7705886138645432,3.7705886138645432,0.01
46,0.02,1.4793025068977528,2.479302506897753,0.03,2.8837062722804796,3.8837062722804796,0.01
47,0.02,1.528888557035708,2.528888557035708,0.03,3.0002174604488943,4.000217460448894,0.01
48,0.02,1.579466328176422,2.579466328176422,0.03,3.1202239842623616,4.120223984262362,0.01
49,0.02,1.6310556547399506,2.6310556547399506,0.03,3.2438307037902323,4.243830703790232,0.01
50,0.02,1.6836767678347497,2.6836767678347497,0.03,3.3711456249039395,4.3711456249039395,0.01
